change age level
3.43422040530765 <25 l
5.0618561981687 <25 m
6.22134402725054 <25 h
2.4898158158059 <25 l
4.34422585848472 <25 m
5.54958473234171 <25 h
2.13332677449 <25 l
3.41493231997373 <25 m
7.28558992745897 <25 h
3.34571806233402 <25 l
4.69532163052518 <25 m
8.33783453841966 <25 h
2.76174943601563 <25 l
4.03563872046234 <25 m
7.9303688866901 <25 h
2.63382955578336 <25 l
2.75113100048864 <25 m
7.10228461141608 <25 h
2.14074477479938 <25 l
3.52869192415536 <25 m
5.34462598238273 <25 h
4.8952529904731 <25 l
5.94610862616712 <25 m
6.71700838068469 <25 h
3.32506383003083 <25 l
3.49068513265313 <25 m
7.71711378014827 <25 h
3.16219844215994 <25 l
4.30808001927947 <25 m
5.1966834893365 <25 h
3.76549448041572 25-40 l
3.33859563103326 25-40 m
4.6465250587137 25-40 h
2.4433394679723 25-40 l
3.8615058371519 25-40 m
4.39914281986065 25-40 h
3.29210045962459 25-40 l
1.81289976029345 25-40 m
5.70432164405207 25-40 h
3.48755241471037 25-40 l
2.94591133672913 25-40 m
4.2587210098209 25-40 h
3.46569965814896 25-40 l
4.39458801399192 25-40 m
4.35060664196557 25-40 h
2.25899379660062 25-40 l
4.95570716887048 25-40 m
3.71903282051988 25-40 h
4.30710837192534 25-40 l
2.63728940611411 25-40 m
5.22058013392645 25-40 h
3.29392735823245 25-40 l
3.32282191828909 25-40 m
6.7593288322834 25-40 h
4.09591751524154 25-40 l
4.67042470493956 25-40 m
5.17916688383294 25-40 h
4.56341268316158 25-40 l
3.73678071110191 25-40 m
5.45064096621383 25-40 h
2.61692207755447 >40 l
4.34784930363777 >40 m
6.36885262455395 >40 h
3.29844877648279 >40 l
3.56514611041906 >40 m
3.86090482659543 >40 h
3.62618994030425 >40 l
3.4882313772242 >40 m
4.50548828379177 >40 h
4.48996919786081 >40 l
3.71198585900803 >40 m
5.3995005853497 >40 h
1.76185554939347 >40 l
4.94079326131923 >40 m
3.52931113565408 >40 h
2.42921449602229 >40 l
3.96817977625063 >40 m
4.70682361927497 >40 h
0.123664898175416 >40 l
5.07282005118417 >40 m
3.09793082738689 >40 h
1.96946830124868 >40 l
2.573989845276 >40 m
4.42019645945671 >40 h
2.11819969293702 >40 l
3.80335383629448 >40 m
3.90163732546956 >40 h
2.63914388065362 >40 l
4.86064160901741 >40 m
6.24559590277374 >40 h
